parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
model_sd[23,3];0.7243654907746436;0.18595421365959475;0.0024006585755356876;0.0021778325747061167;5777.782164447034;0.999611076067754;4.09003380489211
model_sd[24,3];0.6316317852229557;0.1622145113099416;0.002094180336055262;0.0020759726708031983;6376.886806570826;1.0001585958530308;4.514133947336406
model_sd[1,4];0.5157314285443019;0.13058815011009997;0.0016858857686281716;0.0016396510880780616;5921.233442627135;1.0000774100398608;4.191581519986307
model_sd[2,4];0.5139868729379911;0.13085211776254532;0.001689293576367699;0.0018138021607294248;5698.3267833815125;1.0007029352770573;4.033788140848515
model_sd[3,4];0.514712683437864;0.13254079581436964;0.0017110943162737713;0.001695988144190969;6081.2401734050245;0.9995647933817485;4.304848673240858
model_sd[4,4];0.5152420813873008;0.1304893940232592;0.0016846108330292686;0.0020405225468353707;5815.604174896382;1.0000788896911814;4.116807625175385
model_sd[5,4];0.5134322594824339;0.12570350378052547;0.0016228252556729874;0.0016309107307052734;5937.905183622346;1.0012259078259416;4.203383277532032
model_sd[6,4];0.5174016119001088;0.13211163747957747;0.001705553905995317;0.001445930448384785;5941.045126879294;0.999923030559567;4.205606011740563
model_sd[7,4];0.35692157484118114;0.09192012704492691;0.0011866837374209065;0.0011634800067303935;6020.515642756145;0.999691059989274;4.261862389564673
model_sd[8,4];0.2236468521648598;0.05603768634503023;0.0007234434199143229;0.0007825659907643793;5550.312840629633;1.0005146770374298;3.9290105614555584
model_sd[9,4];0.20492104711768355;0.05176954239875358;0.000668341918503838;0.0006571558375597855;6178.224398930627;0.9995070770285749;4.3735028297408824
model_sd[10,4];0.2939734352163639;0.07503904484359591;0.0009687499033151951;0.0011226456913589482;5624.368534887153;1.0001365278132843;3.9814338415892085
model_sd[11,4];0.3656440894096983;0.09177701867029175;0.0011848362162486905;0.0010983360348720288;5825.787608033803;0.9999712323356938;4.1240163749337615
model_sd[12,4];0.30983441486120983;0.07802382916369244;0.001007283303194378;0.001013718690250365;5670.870604497467;1.0005492341694886;4.0143521883337385
model_sd[13,4];0.2829313845171231;0.07115407790777291;0.0009185951958384984;0.0010091118540058498;5992.4990472119025;1.0000896267616417;4.242029723740224
